food,measure,grams,calories,protein,fat,satFat,fiber,carbs,category
heated peas,1 cup,100,53,3,t,0,1,10,Vegetables R-Z
Peppers canned,1 pod,38,10,t,t,0,t,2,Vegetables R-Z
"Peppers Raw, green, sweet",1 large,100,25,1,t,0,1.4,6,Vegetables R-Z
Peppers with beef and crumbs,1 med.,150,255,19,9,8,1,24,Vegetables R-Z
"Potatoes, baked",1 med.,100,100,2,t,0,0.5,22,Vegetables R-Z
French-fried,10 pieces,60,155,-1,7,3,0.4,20,Vegetables R-Z
Potatoes Mashed with milk and butter,1 cup,200,230,4,12,11,0.7,28,Vegetables R-Z
"Potatoes, pan-tried",3/4 cup,100,268,4,14,6,0.40,33,Vegetables R-Z
Scalloped with cheese potatoes,3/4 cup,100,145,6,8,7,0.40,14,Vegetables R-Z
Steamed potatoes before peeling,1 med.,100,80,2,t,0,0.40,19,Vegetables R-Z
Potato chips,10,20,110,1,7,4,t,10,Vegetables R-Z
Radishes,5 small,50,10,t,0,0,0.3,2,Vegetables R-Z
Rutabagas,4 cups,100,32,t,0,0,1.4,8,Vegetables R-Z
Soybeans,1 cup,200,260,22,11,0,3.2,20,Vegetables R-Z
Spinach,1 cup,100,26,3,t,0,1,3,Vegetables R-Z
Squash,1 cup,210,35,1,t,0,0.6,8,Vegetables R-Z
"Winter, mashed",1 cup,200,95,4,t,0,2.6,23,Vegetables R-Z
Sweet potatoes,1 med.,110,155,2,1,0,1,36,Vegetables R-Z
Candied,1 med.,175,235,2,6,5,1.5,80,Vegetables R-Z
Tomatoes,1 cup,240,50,2,t,0,1,9,Vegetables R-Z
"Raw, 2 by 2 1/2",1 med.,150,30,1,t,0,0.6,6,Vegetables R-Z
Tomato juice,1 cup,240,50,2,t,0,0.6,10,Vegetables R-Z
