food,measure,grams,calories,protein,fat,satFat,fiber,carbs,category
Lemon juice,1/2 cup,125,30,0,0,0,0,10,Fruits G-P
Lemonade concentratefrozen,6-oz. can,220,430,0,0,0,0,112,Fruits G-P
Limeade concentrate frozen,6-oz. can,218,405,0,0,0,0,108,Fruits G-P
Olives large,10,65,72,1,10,9,0.8,3,Fruits G-P
OlivesRipe,10,65,105,1,13,12,1,1,Fruits G-P
"Oranges 3"" diameter",1 med.,180,60,2,0,0,1,16,Fruits G-P
Orange juice,8 oz. or,250,112,2,0,0,0.2,25,Fruits G-P
Frozen ,6-oz. can,210,330,2,0,0,0.4,78,Fruits G-P
Papaya,1/2 med.,200,75,1,0,0,1.8,18,Fruits G-P
Peaches,1 cup,257,200,1,0,0,1,52,Fruits G-P
"Fresh, raw",1 med.,114,35,1,0,0,0.6,10,Fruits G-P
Pears,1 cup,255,195,1,0,0,2,50,Fruits G-P
"Raw, 3 by 2V",1 med.,182,100,1,1,0,2,25,Fruits G-P
Persimmons,1 med.,125,75,1,0,0,2,20,Fruits G-P
Pineapple,1 large slice,122,95,0,0,0,0.4,26,Fruits G-P
Pineapple Crushed,1 cup,260,205,1,0,0,0.7,55,Fruits G-P
"Raw, diced",1 cup,140,75,1,0',0,0.6,19,Fruits G-P
Pineapple juice,1 cup,250,120,1,0,0,0.2,32,Fruits G-P
Plums,1 cup,256,185,1,0,0,0.7,50,Fruits G-P
"Raw, 2"" diameter",1,60,30,0,0,0,0.2,7,Fruits G-P
Prunes,1 cup,270,300,3,1,0,0.8,81,Fruits G-P
Prune juice,1 cup,240,170,1,0,0,0.7,45,Fruits G-P
Raisins,1/2 cup,88,230,2,0,0,0.7,82,Fruits R-Z
Raspberries,1/2 cup,100,100,0,0,0,2,25,Fruits R-Z
"Raw, red",3/4 cup,100,57,0,0,0,5,14,Fruits R-Z
Rhubarb sweetened,1 cup,270,385,1,0,0,1.9,98,Fruits R-Z
Strawberries,1 cup,227,242,1,0,0,1.3,60,Fruits R-Z
Raw,1 cup,149,54,0,0,0,1.9,12,Fruits R-Z
Tangerines,I med.,114,40,1,0,0,1,10,Fruits R-Z
Watermelon,1 wedge,925,120,2,1,0,3.6,29,Fruits R-Z
Biscuits,1,38,130,3,4,3,0,18,"Breads, cereals, fastfood,grains"
Bran flakes,1 cup,25,117,3,0,0,0.10,32,"Breads, cereals, fastfood,grains"
"Bread, cracked wheat",1 slice,23,60,2,1,1,0.10,12,"Breads, cereals, fastfood,grains"
Rye,1 slice,23,55,2,1,1,0.10,12,"Breads, cereals, fastfood,grains"
"White, 20 slices, or",1-lb. loaf,454,"1,225",39,15,12,9.00,229,"Breads, cereals, fastfood,grains"
Whole-wheat,1-lb. loaf,454,"1,100",48,14,10,67.50,216,"Breads, cereals, fastfood,grains"
Whole-wheat,1 slice,23,55,2,1,0,0.31,11,"Breads, cereals, fastfood,grains"
Corn bread ground meal,1 serving,50,100,3,4,2,0.30,15,"Breads, cereals, fastfood,grains"
Cornflakes,1 cup,25,110,2,0,0,0.1,25,"Breads, cereals, fastfood,grains"
Corn grits cooked,1 cup,242,120,8,0,0,0.2,27,"Breads, cereals, fastfood,grains"
Corn meal,1 cup,118,360,9,4,2,1.6,74,"Breads, cereals, fastfood,grains"
Crackers,2 med.,14,55,1,1,0,0,10,"Breads, cereals, fastfood,grains"
"Soda, 2 1/2 square",2,11,45,1,1,0,0,8,"Breads, cereals, fastfood,grains"
Farina,1 cup,238,105,3,0,0,8,22,"Breads, cereals, fastfood,grains"
Flour,1 cup,110,460,39,22,0,2.9,33,"Breads, cereals, fastfood,grains"
Wheat (all purpose),1 cup,110,400,12,1,0,0.3,84,"Breads, cereals, fastfood,grains"
Wheat (whole),1 cup,120,390,13,2,0,2.8,79,"Breads, cereals, fastfood,grains"
Macaroni,1 cup,140,155,5,1,0,0.1,32,"Breads, cereals, fastfood,grains"
Baked with cheese,1 cup,220,475,18,25,24,0,44,"Breads, cereals, fastfood,grains"
Muffins,1,48,135,4,5,4,0,19,"Breads, cereals, fastfood,grains"
Noodles,1 cup,160,200,7,2,2,0.1,37,"Breads, cereals, fastfood,grains"
Oatmeal,1 cup,236,150,5,3,2,4.6,26,"Breads, cereals, fastfood,grains"
"Pancakes 4"" diam.",4,108,250,7,9,0,0.1,28,"Breads, cereals, fastfood,grains"
"Wheat, pancakes 4"" diam.",4,108,250,7,9,0,0.1,28,"Breads, cereals, fastfood,grains"
"Pizza 14"" diam.",1 section,75,180,8,6,5,0,23,"Breads, cereals, fastfood,grains"
Popcorn salted,2 cups,28,152,3,7,2,0.5,20,"Breads, cereals, fastfood,grains"
Puffed rice,1 cup,14,55,0,0,0,0,12,"Breads, cereals, fastfood,grains"
Puffed wheat presweetened,1 cup,28,105,1,0,0,0.6,26,"Breads, cereals, fastfood,grains"
Rice,1 cup,208,748,15,3,0,1.2,154,"Breads, cereals, fastfood,grains"
Converted,1 cup,187,677,14,0,0,0.4,142,"Breads, cereals, fastfood,grains"
White,1 cup,191,692,14,0,0,0.3,150,"Breads, cereals, fastfood,grains"
Rice flakes,1 cup,30,115,2,0,0,0.1,26,"Breads, cereals, fastfood,grains"
Rice polish,1/2 cup,50,132,6,6,0,1.2,28,"Breads, cereals, fastfood,grains"
Rolls,1 large,50,411,3,12,11,0.1,23,"Breads, cereals, fastfood,grains"
of refined flour,1,38,115,3,2,2,0,20,"Breads, cereals, fastfood,grains"
whole-wheat,1,40,102,4,1,0,0.1,20,"Breads, cereals, fastfood,grains"
Spaghetti with meat sauce,1 cup,250,285,13,10,6,0.50,35,"Breads, cereals, fastfood,grains"
with tomatoes and cheese,1 cup,250,210,6,5,3,0.50,36,"Breads, cereals, fastfood,grains"
Spanish rice,1 cup,250,217,4,4,0,1.20,40,"Breads, cereals, fastfood,grains"
Shredded wheat biscuit,1,28,100,3,1,0,0.70,23,"Breads, cereals, fastfood,grains"
Waffles,1,75,240,8,9,1,0.10,30,"Breads, cereals, fastfood,grains"
Wheat germ,1 cup,68,245,17,7,3,2.50,34,"Breads, cereals, fastfood,grains"
